epoch;loss;lr;val_loss
0;0.24662163853645325;0.001;0.037431687116622925
1;0.014364790171384811;0.001;0.010999376885592937
2;0.006036217790096998;0.001;0.01127168070524931
3;0.0012225508689880371;0.00031600002;0.0009815770899876952
4;0.0009538065642118454;0.00031600002;0.0007604691199958324
5;0.0008498976239934564;0.00031600002;0.0006957785226404667
6;0.0003160890191793442;9.9856006e-05;0.0004143958503846079
7;0.00028360087890177965;9.9856006e-05;0.0003425950708333403
8;0.00018611976702231914;3.1554497e-05;0.00028781406581401825
9;0.0001756451092660427;3.1554497e-05;0.00027766716084443033
10;0.00015124496712815017;1e-05;0.0002518764231353998
11;0.00014808526611886919;1e-05;0.0002476357331033796
12;0.00014529215695802122;1e-05;0.000240278328419663
13;0.00014271085092332214;1e-05;0.0002390470472164452
14;0.00014019868103787303;1e-05;0.00023086497094482183
15;0.00013783900067210197;1e-05;0.00023193495871964842
16;0.00013555378245655447;1e-05;0.00023177637194748968
17;0.00013314277748577297;1e-05;0.0002280453481944278
18;0.00013092858716845512;1e-05;0.00021511029626708478
19;0.00012897340639028698;1e-05;0.00021473001106642187
20;0.00012694131874013692;1e-05;0.00021622417261824012
21;0.00012502734898589551;1e-05;0.00021699615172110498
22;0.0001229066983796656;1e-05;0.00021209138503763825
23;0.00012119044549763203;1e-05;0.00020238598517607898
24;0.00011939374962821603;1e-05;0.00020201661391183734
25;0.00011761954374378547;1e-05;0.0002120707358699292
26;0.00011596908734645694;1e-05;0.00019501840870361775
27;0.00011426090350141749;1e-05;0.0002000621025217697
28;0.00011257985170232132;1e-05;0.00019278460240457207
29;0.0001110721641452983;1e-05;0.000191914223250933
