epoch;loss;lr;val_loss
0;0.09938513487577438;0.001;0.07965666055679321
1;0.05921541526913643;0.001;0.03255217522382736
2;0.03094739466905594;0.001;0.024638181552290916
3;0.025654155761003494;0.001;0.021128857508301735
4;0.023027604445815086;0.001;0.019401801750063896
5;0.021353546530008316;0.001;0.019104421138763428
6;0.020169267430901527;0.001;0.017838329076766968
7;0.01921999268233776;0.001;0.016657540574669838
8;0.01854747347533703;0.001;0.01572616584599018
9;0.017989318817853928;0.001;0.015517311170697212
10;0.017550028860569;0.001;0.01538581307977438
11;0.017127852886915207;0.001;0.015164199285209179
12;0.016779551282525063;0.001;0.015537511557340622
13;0.015677761286497116;0.00031600002;0.013755512423813343
14;0.015529762953519821;0.00031600002;0.01416509598493576
15;0.015212519094347954;9.9856006e-05;0.013621126301586628
16;0.015146014280617237;9.9856006e-05;0.013884876854717731
17;0.015046532265841961;3.1554497e-05;0.013633990660309792
18;0.014999186620116234;1e-05;0.013560576364398003
19;0.014995422214269638;1e-05;0.013567477464675903
