# This is CartPole simulation from 17.02.2023 at time 15:20:21
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
0.46,1.6887025,-6.948784,36.90552,-0.11763314,0.99305713,-0.026127284,0.26315704,1.0587107,1.0,0.950142,2.489372,0.013250409,1.0,0.1975,0.01622646,0.34197006,6.600921,37.276615,0.27374056,1.250912
0.48,1.5564107,-6.2032523,37.69139,0.01438516,0.9998965,-0.020652479,0.28817526,1.8184791,1.0,0.99345714,2.6028576,0.015140408,1.0,0.1975,0.015521625,-0.4273919,5.8434806,37.968163,0.3050119,1.9018178
0.5,1.4391617,-5.4438887,36.67104,0.13125484,0.9913487,-0.0145522375,0.32621163,-1.1247529,0.94861794,0.6189287,1.621593,0.017036866,1.0,0.1975,0.0158005,-0.92933863,5.027582,36.465443,0.31832346,-0.72099936
0.52,1.3368621,-4.7145805,38.073353,0.23180638,0.9727619,-0.008185774,0.31179166,1.7885315,0.8952524,0.86796993,2.2740812,0.018933745,1.0,0.1975,0.016306832,-1.1981642,4.203753,37.936096,0.32795313,1.7956876
0.54,1.2494106,-3.955857,33.60688,0.3158816,0.9487986,-0.0016266985,0.34770548,-1.6318084,0.29733947,0.46335277,1.2139843,0.020825006,1.0,0.1975,0.017408708,-1.2798798,3.421791,33.469135,0.3350652,-1.262067
0.56,1.1763281,-3.286475,36.783596,0.38431737,0.923201,0.0050745984,0.32246417,1.5141855,-0.3182726,0.7429707,1.9465832,0.022704609,1.0,0.1975,0.016160168,-1.2166333,2.6950684,36.41026,0.3358241,1.4609306
0.58,1.1171803,-2.5582705,20.013525,0.43821868,0.8988684,0.011791074,0.35168275,-8.180601,-0.9069007,-0.36844927,-0.96533704,0.024566516,1.0,0.1975,0.016737292,-1.0900803,2.107488,20.980768,0.2841366,-7.071781
0.6,1.0697215,-2.1386542,13.280837,0.48036852,0.87706673,0.017473817,0.21024685,-10.695651,-1.0,-0.9268452,-2.4283342,0.026404688,1.0,0.1975,0.016534084,-1.0006616,1.7429442,14.980879,0.1217495,-9.279089
0.62,1.0295234,-1.839037,2.3529124,0.5152274,0.8570535,0.019908804,0.024665246,-15.167774,-1.0,-1.7792201,-4.6615562,0.028213087,1.0,0.1975,0.016594917,-0.9560892,1.5273824,5.255138,-0.10097167,-13.183706
0.64,0.9934826,-1.7339343,30.572176,0.545775,0.83793175,0.017889373,-0.23900864,-0.3566786,-1.0,-0.57120234,-1.4965501,0.029985672,1.0,0.1975,0.016483918,-0.81424844,1.2111013,30.45262,-0.24168372,-0.26134273
0.66,0.964294,-1.1248807,31.57984,0.5699971,0.82164675,0.013055689,-0.2442355,0.41983163,-1.0,-0.5050934,-1.3233446,0.031716406,1.0,0.1975,0.01705025,-0.4857545,0.6877727,31.331516,-0.24059433,0.39278606
0.68,0.94745356,-0.49825096,36.2144,0.5837525,0.81193167,0.008243807,-0.23637979,2.6794918,-1.0,-0.2434777,-0.63791156,0.033399247,1.0,0.1975,0.01655175,-0.10351548,0.14343871,35.38267,-0.21416397,2.3308783
0.7,0.9439158,0.20940177,24.303276,0.5866213,0.80986136,0.003960531,-0.18976226,-2.6283233,-0.87973946,-0.75675654,-1.982702,0.03502816,1.0,0.1975,0.016117793,0.25230595,-0.35151172,25.142973,-0.2115242,-2.2848299
0.72,0.95256954,0.7122623,18.489044,0.57959104,0.8149075,-0.00026996137,-0.23545896,-5.3746476,-0.6521986,-1.1465375,-3.0039282,0.036597103,1.0,0.1975,0.0175875,0.50850856,-0.72858405,20.289833,-0.27994823,-4.6687493
0.74,0.9703396,1.1180586,34.326977,0.56501937,0.82507765,-0.005868921,-0.32883385,1.7020552,-0.32508218,-0.51317775,-1.3445257,0.03810004,1.0,0.1975,0.016248958,0.7881083,-1.1867683,33.913258,-0.31501713,1.4262764
0.76,0.9988329,1.7963231,59.93818,0.541284,0.8408398,-0.012169258,-0.30030835,13.969042,0.03390356,0.94842494,2.4848733,0.039530933,1.0,0.1975,0.015453084,1.205684,-1.9716014,55.476467,-0.18558851,11.960582
0.78,1.0450577,2.9058514,23.782053,0.50185204,0.86495346,-0.015881024,-0.061096944,-4.3445225,0.36093047,-0.6672617,-1.7482256,0.040883735,1.0,0.1975,0.015544917,1.4848024,-2.7541685,25.528273,-0.09748907,-3.855113
0.8,1.1076462,3.4164178,59.39743,0.44676855,0.89464957,-0.01783081,-0.13819936,15.476737,0.6932289,1.515408,3.9703689,0.042152416,1.0,0.1975,0.015265667,1.6137764,-3.5761049,54.576603,-0.011560611,13.169054
0.82,1.1861336,4.507949,46.05429,0.37524652,0.92692506,-0.018062022,0.12518147,8.261462,0.9305606,1.2376778,3.2427158,0.043330934,1.0,0.1975,0.01534225,1.6159878,-4.6335144,43.677395,0.19207527,6.9000025
0.84,1.2843175,5.381496,49.832436,0.28257632,0.9592448,-0.01422052,0.2631814,13.414607,1.0,2.1920552,5.7431846,0.044413246,1.0,0.1975,0.0156655,1.3144765,-5.655023,46.07089,0.37240404,11.317831
0.86,1.4004987,6.3029156,39.232853,0.16947563,0.98553437,-0.006772424,0.48953846,4.4545107,1.0,1.6433825,4.305662,0.04539332,1.0,0.1975,0.015688458,0.68851477,-6.6095386,38.203587,0.52460265,3.5368164
0.88,1.5335027,7.0669866,35.74876,0.037284985,0.99930465,0.0037196192,0.5602747,-7.6844707,0.9320506,0.40884256,1.0711675,0.046265114,1.0,0.1975,0.017499957,-0.2711418,-7.386705,37.492718,0.49442813,-7.0854716
0.9,1.6814711,7.81684,38.645927,-0.11044898,0.9938818,0.013608173,0.41856542,-4.893784,0.7969793,0.59620154,1.562048,0.047022592,1.0,0.1975,0.016687041,-1.5599219,-8.009058,39.33727,0.3757525,-4.668447
0.92,1.8448442,8.603587,41.840313,-0.27063048,0.9626833,0.021123238,0.3251963,-6.278692,0.62886626,0.3739767,0.97981894,0.047659706,1.0,0.1975,0.015919583,-3.192261,-8.382518,42.06609,0.27088892,-5.869465
0.94,2.0244813,9.444908,48.68597,-0.43828067,0.89883816,0.026541011,0.20780711,-9.447044,0.46491927,-0.09889448,-0.2591035,0.04817043,1.0,0.1975,0.01645575,-5.176868,-8.396715,48.01669,0.12734702,-8.59379
0.96,2.2220888,10.405241,44.98452,-0.6062148,0.7953009,0.02908795,0.035931468,-6.9206734,0.121498965,-0.028383397,-0.0743645,0.048548713,1.0,0.1975,0.016789,-7.4177055,-7.816013,42.218506,-0.02190131,-6.0693135
0.98,2.4380195,11.249613,63.2479,-0.7625354,0.6469465,0.028649922,-0.085455045,-13.733676,-0.23842822,-0.9640128,-2.5257134,0.04878852,1.0,0.1975,0.01604621,-9.799303,-6.500429,56.81854,-0.19845627,-11.727584
1.0,2.6737514,12.3859825,51.2913,-0.89254385,0.4509606,0.0246808,-0.3200065,-10.3782,-0.5556116,-1.0843406,-2.8409722,0.048883818,1.0,0.1975,0.016256291,-12.027111,-4.25338,40.518227,-0.4009001,-8.019635
1.02,2.9295895,13.196346,27.24823,-0.97761136,0.21041861,0.016662806,-0.48039904,-5.4246135,-0.7767427,-1.1159451,-2.9237761,0.04892221,1.0,0.1975,0.016078874,-13.291779,-1.0425994,14.315857,-0.5165977,-3.0967102
1.04,-3.0861475,13.482663,2.1891582,-0.99846333,-0.055416703,0.006330863,-0.5423332,-1.3183106,-0.88041836,-1.1986141,-3.140369,0.049055543,1.0,0.1975,0.015546083,-13.15959,2.5288458,-8.947858,-0.5442084,0.4643683
1.06,-2.8173318,13.303706,-10.273035,-0.94788647,-0.31860825,-0.0045532947,-0.5330458,-0.6476294,-0.74800825,-1.4825063,-3.8841662,0.049282234,1.0,0.1975,0.015732083,-11.784422,5.778376,-18.828394,-0.53134495,0.6600049
1.08,-2.5540736,12.927136,-41.382725,-0.83231837,-0.55429786,-0.015180247,-0.51984566,6.3337584,-0.47131726,-1.0134698,-2.6552908,0.04959826,1.0,0.1975,0.015855376,-9.469623,8.189701,-41.601124,-0.465372,5.8277245
1.1,-2.3030193,12.095115,-55.011948,-0.6685245,-0.74369013,-0.024487678,-0.40329129,10.493108,-0.22238243,-0.4193455,-1.0986851,0.049999602,1.0,0.1975,0.015580875,-6.7010465,9.466711,-50.597668,-0.31786796,8.839927
1.12,-2.0705285,11.083162,-50.965816,-0.47919047,-0.87771094,-0.030845031,-0.22649291,9.70261,-0.05077359,-0.105652824,-0.27681038,0.05048224,1.0,0.1975,0.01559825,-4.072369,9.816026,-46.90108,-0.1485055,8.001882
1.14,-1.8575815,10.145142,-39.86155,-0.28287014,-0.95915824,-0.033815138,-0.06645544,3.3228114,0.046410814,-0.44033074,-1.1536665,0.051042143,1.0,0.1975,0.01555025,-1.8354106,9.602032,-38.967407,-0.041131716,2.4823399
1.16,-1.6617514,9.365794,-38.979282,-0.09082971,-0.9958664,-0.03463777,-0.016808689,3.9505284,0.3136298,-0.14873293,-0.38968027,0.051675294,1.0,0.1975,0.015652457,-0.006705529,9.008867,-37.91202,0.0134993475,2.9942079
1.18,-1.4813296,8.607554,-36.305244,0.08934746,-0.9960005,-0.034367785,0.043075413,3.756359,0.4964205,0.07023361,0.18401206,0.052377667,1.0,0.1975,0.015530917,1.419087,8.153414,-35.480106,0.07191712,2.8534408
1.2,-1.3156195,7.8979487,-25.000439,0.25241655,-0.96761864,-0.032929435,0.10014451,11.979416,0.60470617,1.2772894,3.346498,0.053145245,1.0,0.1975,0.015610583,2.5011623,7.254959,-23.505304,0.19819355,10.2002735
1.22,-1.1619886,7.427843,-35.797817,0.3975156,-0.91759545,-0.028965568,0.30414978,-0.7976398,0.66683054,0.2185365,0.5725656,0.053974003,1.0,0.1975,0.015944624,3.2787056,6.2995734,-35.39425,0.29542017,-1.0740246
