# This is CartPole simulation from 17.02.2023 at time 15:31:39
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
0.46,-2.621576,2.0808647,7.1562347,-0.8678109,-0.49689457,0.09419328,-0.010542654,-7.8234634,-0.04151267,-0.9391556,-2.4605875,0.06335131,-1.0,0.1975,0.017285207,-1.8160793,1.0915916,2.3869896,-0.0743673,-6.6301365
0.48,-2.579195,2.1286044,-44.63796,-0.8459791,-0.5332161,0.092705935,-0.14314526,7.6749454,-0.03760023,0.40449739,1.0597831,0.06258406,-1.0,0.1975,0.017457167,-1.4603934,0.956505,-41.211876,-0.08047368,6.515513
0.5,-2.5442781,1.3043665,-35.91477,-0.826849,-0.562424,0.09109646,-0.012834938,4.742339,-0.04942321,0.3493908,0.91540384,0.061814193,-1.0,0.1975,0.017102793,-0.8148022,0.5661374,-33.91291,0.025960827,4.038251
0.52,-2.5244343,0.62610894,1.2683022,-0.81552625,-0.57872003,0.09161568,0.067930005,-7.382153,-0.05402387,-0.7642146,-2.002242,0.06104415,-1.0,0.1975,0.0168225,-0.5017479,0.3607355,-2.2803798,0.007368237,-6.3148503
0.54,-2.512075,0.58050126,-13.986708,-0.8083115,-0.588755,0.09176304,-0.058367267,-2.5992038,-0.066803105,-0.49619362,-1.3000273,0.06027639,-1.0,0.1975,0.016334375,-0.36053395,0.26508296,-15.276637,-0.07971533,-2.2278333
0.56,-2.503125,0.2749688,-1.4733108,-0.80300987,-0.5959657,0.09016874,-0.10292389,-6.8024726,-0.07745139,-1.018486,-2.6684332,0.059513364,-1.0,0.1975,0.016339708,-0.1962455,0.14639212,-4.5381684,-0.15878953,-5.829358
0.58,-2.4982283,0.18420552,-87.861305,-0.800082,-0.5998906,0.08699295,-0.21951094,21.559296,-0.07281623,1.7477155,4.5790143,0.05875752,-1.0,0.1975,0.016735166,0.44606835,-0.33060247,-78.57728,-0.042308036,18.511335
0.6,-2.509333,-1.3873433,-48.74588,-0.8066941,-0.5909692,0.08614679,0.15071653,8.75077,-0.08096609,1.0678244,2.7976997,0.058011312,-1.0,0.1975,0.016536793,1.4748588,-1.0400811,-44.84786,0.22290258,7.5565104
0.62,-2.545429,-2.2842996,2.8924541,-0.8274957,-0.56147206,0.090604834,0.3018466,-7.5365763,-0.097277805,-0.36584014,-0.9585011,0.05727719,-1.0,0.1975,0.017000625,1.9077706,-1.2321305,0.5389696,0.23969844,-6.5022163
0.64,-2.5908542,-2.2735202,-6.3006005,-0.8521383,-0.5233167,0.0953988,0.17180239,-4.0386634,-0.10466515,-0.22881275,-0.5994894,0.056557607,-1.0,0.1975,0.016926585,2.018242,-1.175431,-7.2927566,0.13850228,-3.4845536
0.66,-2.6375701,-2.4193757,-18.844236,-0.87564695,-0.48295176,0.09816885,0.102111176,0.2966491,-0.11139618,0.095041275,0.24900813,0.055855013,-1.0,0.1975,0.016284168,2.2939658,-1.1889678,-17.913586,0.10448257,0.24109803
0.68,-2.6892514,-2.777647,-12.366708,-0.8994263,-0.4370725,0.1002585,0.10693313,-1.1014807,-0.10820138,-0.033648998,-0.08816037,0.055171862,-1.0,0.1975,0.016134916,2.6311915,-1.1860054,-11.888778,0.09772042,-0.97542423
0.7,-2.746982,-3.0154223,-4.7384243,-0.92314637,-0.3844487,0.102212906,0.087424666,-2.6862297,-0.10606097,-0.21745987,-0.5697448,0.0545106,-1.0,0.1975,0.016015584,2.858186,-1.0889657,-4.8892636,0.065114215,-2.3478158
0.72,-2.808164,-3.1132078,-26.59896,-0.9449257,-0.32728487,0.10351519,0.040468253,4.06278,-0.10177328,0.37960505,0.9945652,0.053873688,-1.0,0.1975,0.015848124,3.1854153,-0.98563826,-23.344301,0.0734993,3.417804
0.74,-2.8748646,-3.5800934,-14.770969,-0.9646385,-0.26357663,0.10498518,0.10882427,1.4058027,-0.09975487,0.25261703,0.6618566,0.053263567,-1.0,0.1975,0.015686417,3.603035,-0.8425512,-12.544775,0.11989448,1.1161882
0.76,-2.9488862,-3.8309886,-2.8793175,-0.9814895,-0.191516,0.107383065,0.13114801,-1.0848941,-0.09569973,0.0705383,0.18481033,0.052682698,-1.0,0.1975,0.016041625,3.8046057,-0.5913412,-1.8071668,0.12171504,-1.0254624
0.78,-3.0259109,-3.867132,10.366049,-0.9933163,-0.115423955,0.10981736,0.11063878,-3.8313775,-0.10326295,-0.20592931,-0.53953475,0.052133523,-1.0,0.1975,0.01568525,3.7642732,-0.29389203,9.8851595,0.07875993,-3.3576748
0.8,-3.1014435,-3.6694283,3.7900572,-0.99919415,-0.04013834,0.111392565,0.04348515,-1.339496,-0.11917876,-0.061607707,-0.16141218,0.0516185,-1.0,0.1975,0.015499666,3.6301186,-0.013938559,4.6186967,0.032000273,-1.2355481
0.82,3.109123,-3.5770545,4.0265627,-0.9994729,0.03246396,0.11203257,0.018774211,-0.6901755,-0.1309941,-0.020208135,-0.052945312,0.05114008,-1.0,0.1975,0.015698042,3.525842,0.23947977,5.1695514,0.012615708,-0.6797555
0.84,3.038429,-3.4736636,1.46275,-0.9946833,0.10298073,0.112284884,0.0051791146,0.67920196,-0.13902712,0.10929865,0.28636244,0.050700713,-1.0,0.1975,0.015672125,3.4168875,0.47338212,3.358846,0.010206157,0.48329514
0.86,2.9694247,-3.4064865,14.945121,-0.98521566,0.17131862,0.11248901,0.014845037,-2.2384439,-0.14216518,-0.1342057,-0.35161892,0.050302852,-1.0,0.1975,0.015507,3.2030025,0.6655968,14.959099,-0.0037863888,-1.9623997
0.88,2.9039845,-3.1073048,28.148046,-0.97190374,0.23537861,0.11241328,-0.02440292,-5.2042646,-0.14565618,-0.47978586,-1.257039,0.049948946,-1.0,0.1975,0.016537625,2.7636158,0.7537283,26.17562,-0.067042254,-4.442024
0.9,2.8466856,-2.583793,1.817021,-0.9568292,0.29065087,0.111072436,-0.11324331,2.51915,-0.14921893,0.12275331,0.32161364,0.04964145,-1.0,0.1975,0.015704125,2.4237404,0.8044078,4.268447,-0.09297896,2.0838063
