# This is CartPole simulation from 09.01.2023 at time 06:24:24
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-2.6891985,0.10349165,-4.4437256,-0.89940315,-0.4371201,0.08836747,0.04177371,-2.1669204,-0.23097834,-0.6251373,0.0869769,1.0,0.3949332,0.23840131
0.04,-2.6881628,-0.011468511,0.79696226,-0.8989499,-0.43805137,0.08894938,0.013576064,-5.2470813,-0.337721,-1.573953,0.0869769,1.0,0.3949332,-0.6251373
0.06,-2.6889267,-0.060847852,-2.0728135,-0.8992843,-0.43736455,0.088673726,-0.05304428,-3.556836,-0.44543183,-1.444641,0.0869769,1.0,0.3949332,-1.573953
0.08,-2.6909683,-0.1721536,-7.1016326,-0.90017533,-0.43552768,0.087237805,-0.083120845,-0.59067756,-0.53372365,-0.8038232,0.0869769,1.0,0.3949332,-1.444641
0.1,-2.6948876,-0.24228936,-0.9464502,-0.90187544,-0.43199623,0.085001856,-0.13662422,-4.144409,-0.6151661,-1.9956747,0.0869769,1.0,0.3949332,-0.8038232
0.12,-2.7004325,-0.33781624,-1.2924848,-0.90425694,-0.42698878,0.08183469,-0.17429775,-3.8768945,-0.69359714,-2.102207,0.0869769,1.0,0.3949332,-1.9956747
0.14,-2.7074232,-0.38968673,-12.862278,-0.9072197,-0.42065704,0.07765568,-0.23600349,2.920105,-0.754301,-0.6031925,0.0869769,1.0,0.3949332,-2.102207
0.16,-2.7162266,-0.48791057,-3.9780724,-0.9108877,-0.41265425,0.07270771,-0.26907516,-2.1405761,-0.8178958,-2.0899296,0.0869769,1.0,0.3949332,-0.6031925
0.18,-2.7267027,-0.55060315,1.9336642,-0.91516066,-0.40308923,0.066947274,-0.32059637,-5.429127,-0.86097574,-3.1936743,0.0869769,1.0,0.3949332,-2.0899296
0.2,-2.7386515,-0.66297394,-5.7016473,-0.9199117,-0.3921256,0.060302753,-0.3412134,-0.9126624,-0.8705529,-2.103038,0.0869769,1.0,0.3949332,-3.1936743
