# This is CartPole simulation from 09.01.2023 at time 04:42:49
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,0.3046387,-0.24913299,7.103569,0.9539554,0.29994854,-0.12336421,0.081915855,0.5741493,0.37172574,0.35597023,-0.12433179,-1.0,0.36870372,0.7439086
0.04,0.30174303,-0.06009509,12.669435,0.9548199,0.29718494,-0.12120409,0.11793297,3.469245,0.7276951,1.2742862,-0.12433179,-1.0,0.36870372,0.35597023
0.06,0.30309424,0.23671542,8.320502,0.9544175,0.29847482,-0.118080385,0.20967478,1.2198088,0.9047849,1.1326318,-0.12433179,-1.0,0.36870372,1.2742862
0.08,0.31002167,0.49085578,18.30502,0.95232695,0.30507928,-0.113311194,0.27881756,6.310686,1.0,2.7736235,-0.12433179,-1.0,0.36870372,1.1326318
0.1,0.32294267,0.85003835,0.99846905,0.94830567,0.3173585,-0.10670153,0.40068018,-2.7584035,1.0,1.0138139,-0.12433179,-1.0,0.36870372,2.7736235
0.12,0.34189698,1.0937142,2.007886,0.9421204,0.33527488,-0.098272026,0.4601114,-2.4343343,1.0,1.3752328,-0.12433179,-1.0,0.36870372,1.0138139
0.14,0.365335,1.3059784,10.926273,0.9340041,0.3572622,-0.08889008,0.49946773,2.0094624,1.0,2.7116525,-0.12433179,-1.0,0.36870372,1.3752328
0.16,0.39338544,1.5360482,21.068674,0.92361665,0.38331744,-0.078569405,0.54360074,7.155666,1.0,4.26613,-0.12433179,-1.0,0.36870372,2.7116525
0.18,0.42646876,1.768574,17.735125,0.91043216,0.41365844,-0.06718448,0.58352154,5.1343417,1.0,3.9345484,-0.12433179,-1.0,0.36870372,4.26613
0.2,0.4637131,1.9578683,13.0942545,0.8943979,0.44727218,-0.055319674,0.5936842,2.3085017,1.0,3.2429936,-0.12433179,-1.0,0.36870372,3.9345484
0.22,0.504593,2.1375828,9.231953,0.8753713,0.48345122,-0.043397903,0.5910778,-0.21422099,1.0,2.5631635,-0.12433179,-1.0,0.36870372,3.2429936
0.24,0.5486218,2.2682676,9.119651,0.85324407,0.5215118,-0.031853408,0.5521671,-0.7208799,1.0,2.2417858,-0.12433179,-1.0,0.36870372,2.5631635
0.26,0.59589416,2.495416,13.001098,0.827647,0.561249,-0.020808375,0.55968535,1.0934613,0.93192726,2.7832737,-0.12433179,-1.0,0.36870372,2.2417858
0.28,0.6476801,2.6977317,6.7669077,0.79748565,0.60333794,-0.009716607,0.5424707,-3.2239761,0.7841679,1.533329,-0.12433179,-1.0,0.36870372,2.7832737
0.3,0.70298374,2.8683927,14.90567,0.7629166,0.6464969,0.0006027505,0.4943046,1.321143,0.5750347,2.582484,-0.12433179,-1.0,0.36870372,1.533329
0.32,0.76233816,3.0622392,17.375448,0.7232232,0.69061434,0.010243345,0.4469176,2.476131,0.3309813,2.7213728,-0.12433179,-1.0,0.36870372,2.582484
0.34,0.8254781,3.2461193,12.307568,0.6782057,0.7348721,0.018749602,0.3773217,-1.6710776,0.05845268,1.2507341,-0.12433179,-1.0,0.36870372,2.7213728
0.36,0.8922955,3.4704244,5.523784,0.6276266,0.7785145,0.025724463,0.3207676,-7.7986817,-0.25833544,-0.7525622,-0.12433179,-1.0,0.36870372,1.2507341
0.38,0.96282065,3.6191592,9.785527,0.57120705,0.820806,0.030765103,0.18396755,-5.625433,-0.5757688,-0.7401669,-0.12433179,-1.0,0.36870372,-0.7525622
0.4,1.0366228,3.8114467,4.3363004,0.5091299,0.8606897,0.033071827,0.05748298,-12.33853,-0.8969434,-3.3068657,-0.12433179,-1.0,0.36870372,-0.7401669
0.42,1.114349,3.9914918,13.61876,0.44076192,0.897624,0.03260825,-0.115601465,-4.7180405,-1.0,-1.7808508,-0.12433179,-1.0,0.36870372,-3.3068657
0.44,1.1964635,4.2589912,12.963707,0.3656517,0.93075174,0.029174399,-0.22996019,-7.4509673,-1.0,-3.0693622,-0.12433179,-1.0,0.36870372,-1.7808508
0.46,1.284388,4.5718956,16.545809,0.28250876,0.9592647,0.023704147,-0.3228854,-4.391909,-1.0,-2.439165,-0.12433179,-1.0,0.36870372,-3.0693622
0.48,1.3788761,4.918358,19.566345,0.19074422,0.98163974,0.016484244,-0.40135115,0.14342672,-1.0,-1.2269872,-0.12433179,-1.0,0.36870372,-2.439165
0.5,1.4805934,5.2915907,18.595837,0.09008061,0.9959345,0.007893209,-0.46959597,-6.517176,-1.0,-3.4651108,-0.12433179,-1.0,0.36870372,-1.2269872
0.52,1.5898883,5.68174,20.126087,-0.019090846,0.9998177,-0.002203109,-0.5425786,-6.817653,-1.0,-3.7016373,-0.12433179,-1.0,0.36870372,-3.4651108
0.54,1.7071424,6.086377,20.250107,-0.13592397,0.99071926,-0.013641267,-0.604541,-2.0859697,-1.0,-2.279381,-0.12433179,-1.0,0.36870372,-3.7016373
0.56,1.8326033,6.504864,19.524134,-0.2588264,0.96592385,-0.026338523,-0.6775517,-0.66896236,-1.0,-1.9708441,-0.12433179,-1.0,0.36870372,-2.279381
0.58,1.9662229,6.8997293,17.953337,-0.38520184,0.92283237,-0.040045835,-0.7047338,0.44979432,-1.0,-1.5879244,-0.12433179,-1.0,0.36870372,-1.9708441
0.6,2.1077337,7.3093896,19.29624,-0.5115068,0.8592792,-0.054450817,-0.76215696,-2.1770294,-1.0,-2.536371,-0.12433179,-1.0,0.36870372,-1.5879244
0.62,2.2572696,7.677568,19.596588,-0.63381326,0.7734861,-0.070014276,-0.7987069,-3.3223004,-0.9084637,-3.002081,-0.12433179,-1.0,0.36870372,-2.536371
0.64,2.4136624,7.9885354,11.276848,-0.74655306,0.6653259,-0.08612799,-0.81544566,1.2334458,-0.4747486,-1.8666593,-0.12433179,-1.0,0.36870372,-3.002081
0.66,2.575002,8.108381,-2.8043056,-0.8437358,0.53675866,-0.10201484,-0.74204737,7.799857,0.0053745154,-0.010915053,-0.12433179,-1.0,0.36870372,-1.8666593
0.68,2.7366128,8.010907,-3.7507348,-0.91911036,0.39400023,-0.11553552,-0.5838566,6.143536,0.46652585,-0.13700922,-0.12433179,-1.0,0.36870372,-0.010915053
0.7,2.8944724,7.716102,-30.297281,-0.9696209,0.24461275,-0.12531863,-0.36393702,17.77376,0.9668778,3.4231403,-0.12433179,-1.0,0.36870372,-0.13700922
0.72,3.044251,7.2428794,-16.628853,-0.995266,0.09718803,-0.12995246,-0.092704,9.114943,1.0,2.0798993,-0.12433179,-1.0,0.36870372,3.4231403
0.74,-3.0972836,6.8618293,-21.733051,-0.9990185,-0.044294555,-0.13013199,0.10024171,10.206085,1.0,2.95013,-0.12433179,-1.0,0.36870372,2.0798993
0.76,-2.9635253,6.5260243,-17.02264,-0.98418784,-0.17712782,-0.12656337,0.2444205,6.6856437,1.0,2.5058491,-0.12433179,-1.0,0.36870372,2.95013
0.78,-2.8361695,6.143441,-18.988462,-0.9537198,-0.3006968,-0.12047189,0.38994634,6.644622,1.0,3.0214412,-0.12433179,-1.0,0.36870372,2.5058491
0.8,-2.7165406,5.8252034,-17.840714,-0.91101724,-0.41236824,-0.11161824,0.4819039,5.136952,1.0,2.956885,-0.12433179,-1.0,0.36870372,3.0214412
0.82,-2.6025534,5.4883924,-15.801036,-0.8582022,-0.51331174,-0.1014738,0.5667792,3.1338828,1.0,2.7660103,-0.12433179,-1.0,0.36870372,2.956885
0.84,-2.4957328,5.1872196,-13.779665,-0.7985825,-0.6018854,-0.089558005,0.6124677,1.0383751,1.0,2.3781586,-0.12433179,-1.0,0.36870372,2.7660103
0.86,-2.394708,4.8632374,-16.689661,-0.7338088,-0.6793561,-0.07701254,0.65622705,2.04731,1.0,2.870949,-0.12433179,-1.0,0.36870372,2.3781586
0.88,-2.300372,4.5394707,-23.848034,-0.6665533,-0.74545735,-0.06360843,0.6832362,6.56436,1.0,4.3372855,-0.12433179,-1.0,0.36870372,2.870949
0.9,-2.2127848,4.1898828,-16.475296,-0.5987892,-0.80090666,-0.04960076,0.7141076,0.35035428,1.0,2.7499,-0.12433179,-1.0,0.36870372,4.3372855
0.92,-2.1319766,3.8551378,-15.198118,-0.53218585,-0.8466276,-0.03527247,0.71866626,-1.6234772,1.0,2.2503314,-0.12433179,-1.0,0.36870372,2.7499
0.94,-2.0577018,3.5366986,-20.763258,-0.46789324,-0.883785,-0.021148471,0.6917758,3.2268589,1.0,3.6564543,-0.12433179,-1.0,0.36870372,2.2503314
0.96,-1.9901845,3.169331,-19.692293,-0.40720177,-0.91333824,-0.007311896,0.70132583,1.7099123,1.0,3.3358657,-0.12433179,-1.0,0.36870372,3.6564543
0.98,-1.9301938,2.7978466,-19.539934,-0.35171023,-0.93610895,0.0068190126,0.7028984,1.139841,1.0,3.2586517,-0.12433179,-1.0,0.36870372,3.3358657
1.0,-1.8775442,2.440676,-18.024635,-0.30195987,-0.9533206,0.020754937,0.67096657,-1.689285,0.82896763,2.3082585,-0.12433179,-1.0,0.36870372,3.2586517
1.02,-1.8321774,2.0642655,-16.710903,-0.25841495,-0.966034,0.03417722,0.65745246,-4.9444494,0.55299026,1.2980928,-0.12433179,-1.0,0.36870372,2.3082585
1.04,-1.7939473,1.7239354,-17.588646,-0.2213036,-0.97520494,0.04647154,0.5603442,-4.218327,0.30639783,1.1178057,-0.12433179,-1.0,0.36870372,1.2980928
1.06,-1.7625822,1.3742174,-18.464655,-0.19061232,-0.9816654,0.05675398,0.46276543,-2.9564242,0.08309795,1.0978395,-0.12433179,-1.0,0.36870372,1.1178057
1.08,-1.738326,1.0140581,-16.75992,-0.16674708,-0.9859997,0.06518604,0.37276277,-8.643634,-0.07187657,-1.0841222,-0.12433179,-1.0,0.36870372,1.0978395
1.1,-1.7212535,0.6527254,-16.62634,-0.14989017,-0.98870265,0.07161853,0.27111676,-10.211942,-0.17246747,-2.037411,-0.12433179,-1.0,0.36870372,-1.0841222
1.12,-1.7114278,0.29100996,-19.368336,-0.14016838,-0.9901277,0.075953715,0.15834711,-1.3829865,-0.22446793,0.22713515,-0.12433179,-1.0,0.36870372,-2.037411
1.14,-1.7089901,-0.08755428,-18.679573,-0.13775434,-0.9904664,0.07850084,0.0990103,-3.8679109,-0.20601983,-0.83663297,-0.12433179,-1.0,0.36870372,0.22713515
1.16,-1.7141318,-0.46573517,-19.143232,-0.1428452,-0.989745,0.07989043,0.039213143,-2.0642002,-0.094809495,-0.561907,-0.12433179,-1.0,0.36870372,-0.83663297
1.18,-1.7270303,-0.862353,-18.82548,-0.15559915,-0.98782027,0.08077952,0.046466995,-2.7577093,0.06694912,-0.7700715,-0.12433179,-1.0,0.36870372,-0.561907
1.2,-1.7477134,-1.2460519,-20.094036,-0.17599566,-0.9843909,0.08138239,0.017158367,1.3134645,0.23822373,0.33574656,-0.12433179,-1.0,0.36870372,-0.7700715
1.22,-1.7763247,-1.6531703,-21.251938,-0.20408449,-0.9789533,0.082162954,0.058457863,4.1988034,0.44760495,1.3849185,-0.12433179,-1.0,0.36870372,0.33574656
1.24,-1.8130984,-2.0633762,-22.187197,-0.23993811,-0.9707882,0.08380868,0.10681553,5.8347726,0.64094216,2.055788,-0.12433179,-1.0,0.36870372,1.3849185
1.26,-1.8582972,-2.4982607,-22.431446,-0.28355658,-0.9589555,0.0868476,0.20238641,5.7820063,0.8502189,2.4022627,-0.12433179,-1.0,0.36870372,2.055788
1.28,-1.9121904,-2.9344468,-21.606152,-0.33480105,-0.9422888,0.09173537,0.29427484,4.183703,1.0,2.23761,-0.12433179,-1.0,0.36870372,2.4022627
1.3,-1.9748927,-3.3767066,-19.535028,-0.3931881,-0.91945803,0.098546825,0.39157817,1.5512928,1.0,1.7769134,-0.12433179,-1.0,0.36870372,2.23761
1.32,-2.046076,-3.8003173,-21.85799,-0.45758718,-0.88916475,0.10683732,0.46351862,4.4852824,1.0,2.9000585,-0.12433179,-1.0,0.36870372,1.7769134
1.34,-2.1261365,-4.225943,-18.27279,-0.5272324,-0.84972113,0.11704845,0.54432154,1.2900696,1.0,2.209567,-0.12433179,-1.0,0.36870372,2.9000585
1.36,-2.2141387,-4.62156,-25.33,-0.59987307,-0.8000952,0.12836787,0.60211337,7.734035,0.7769028,4.2881927,-0.12433179,-1.0,0.36870372,2.209567
1.38,-2.3093786,-4.920618,-10.6543045,-0.6732403,-0.73942375,0.1404216,0.59612477,-2.937567,0.51273054,1.1079319,-0.12433179,-1.0,0.36870372,4.2881927
1.4,-2.4101083,-5.157756,0.2911209,-0.7441837,-0.667975,0.15216058,0.5659799,-8.943697,0.17898884,-0.6984831,-0.12433179,-1.0,0.36870372,1.1079319
1.42,-2.513842,-5.253633,-0.3491914,-0.8093507,-0.5873257,0.16235748,0.4666669,-6.856182,-0.15797928,-0.4764645,-0.12433179,-1.0,0.36870372,-0.6984831
1.44,-2.618908,-5.2664723,4.5718784,-0.8664821,-0.4992082,0.17048767,0.3461217,-8.198376,-0.5093451,-1.2649505,-0.12433179,-1.0,0.36870372,-0.4764645
1.46,-2.7231581,-5.1665177,10.055772,-0.91372615,-0.40633056,0.17586075,0.19029522,-9.728631,-0.835873,-2.2294495,-0.12433179,-1.0,0.36870372,-1.2649505
1.48,-2.8247032,-4.960145,2.3885686,-0.9502093,-0.3116124,0.17799613,0.005517061,-4.4121776,-0.99749273,-1.5454637,-0.12433179,-1.0,0.36870372,-2.2294495
1.5,-2.921788,-4.7262177,4.059983,-0.97594005,-0.218039,0.17649916,-0.16809455,-4.199065,-1.0,-2.1620429,-0.12433179,-1.0,0.36870372,-1.5454637
,,,,,,,,,,,,,,-2.1620429
