# This is CartPole simulation from 09.01.2023 at time 05:38:27
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-0.8372392,-0.32138246,-26.100029,0.6695161,-0.74279755,-0.07312239,0.03307143,-1.2751117,-0.07915239,0.10743464,-0.073887736,-1.0,0.23381014,0.28126004
0.04,-0.84834754,-0.87102467,-27.263105,0.6612237,-0.75018877,-0.07267992,-0.004828976,-1.740017,-0.0010085376,-0.21950097,-0.073887736,-1.0,0.23381014,0.10743464
0.06,-0.8706045,-1.3794832,-33.778435,0.64436436,-0.7647186,-0.07304853,-0.020584371,-4.726186,0.09584777,-1.1832452,-0.073887736,-1.0,0.23381014,-0.21950097
0.08,-0.90270406,-1.9048955,-22.368103,0.61948955,-0.7850049,-0.073538035,-0.04043356,1.1369058,0.23754802,0.39145648,-0.073887736,-1.0,0.23381014,-1.1832452
0.1,-0.94449085,-2.3259115,-11.8957205,0.5861555,-0.8101986,-0.07394919,-0.00017598004,7.184116,0.4076255,2.3292031,-0.073887736,-1.0,0.23381014,0.39145648
0.12,-0.994379,-2.7369778,-25.5296,0.5450237,-0.8384206,-0.07328183,0.056706306,0.42657998,0.610604,0.56099343,-0.073887736,-1.0,0.23381014,2.3292031
0.14,-1.0528262,-3.1540747,-15.222491,0.49511757,-0.868826,-0.0715227,0.12629543,7.5514483,0.84358263,2.973734,-0.073887736,-1.0,0.23381014,0.56099343
0.16,-1.1192852,-3.5854316,-19.64932,0.43632573,-0.8997888,-0.06798822,0.20519271,6.0900564,1.0,2.8484235,-0.073887736,-1.0,0.23381014,2.973734
0.18,-1.1947409,-4.018528,-30.229681,0.36725444,-0.9301205,-0.06286775,0.3113077,-0.95005935,1.0,1.1040683,-0.073887736,-1.0,0.23381014,2.8484235
0.2,-1.2799956,-4.5394225,-29.185293,0.28671947,-0.9580146,-0.05626817,0.37912986,0.8506919,1.0,1.8467709,-0.073887736,-1.0,0.23381014,1.1040683
0.22,-1.3757805,-5.102548,-26.996891,0.19378209,-0.9810446,-0.048166458,0.4327593,5.9094305,1.0,3.5243964,-0.073887736,-1.0,0.23381014,1.8467709
0.24,-1.4829855,-5.6838484,-31.045973,0.08769803,-0.9961471,-0.0387803,0.5088096,0.2720997,1.0,1.914038,-0.073887736,-1.0,0.23381014,3.5243964
0.26,-1.6021878,-6.301829,-31.53113,-0.03138627,-0.9995073,-0.028122481,0.5642764,3.250302,1.0,2.8943892,-0.073887736,-1.0,0.23381014,1.914038
0.28,-1.7338734,-6.9310665,-33.40527,-0.16235518,-0.98673236,-0.016577078,0.59260267,5.046514,1.0,3.3519042,-0.073887736,-1.0,0.23381014,2.8943892
0.3,-1.8783195,-7.5729327,-34.514008,-0.30269894,-0.95308626,-0.004188686,0.64340144,4.965102,1.0,3.3186057,-0.073887736,-1.0,0.23381014,3.3519042
0.32,-2.0356064,-8.2208805,-35.420574,-0.448253,-0.8939067,0.009201971,0.7022534,5.2962604,1.0,3.476808,-0.073887736,-1.0,0.23381014,3.3186057
0.34,-2.2062984,-8.870611,-31.856188,-0.5935816,-0.8047738,0.024151858,0.77681583,3.614089,1.0,3.178294,-0.073887736,-1.0,0.23381014,3.476808
0.36,-2.3886895,-9.407511,-24.019892,-0.7297069,-0.6837601,0.040016335,0.8104567,1.2279706,0.72591716,2.667673,-0.073887736,-1.0,0.23381014,3.178294
0.38,-2.5801077,-9.729061,5.1778793,-0.84646535,-0.53244376,0.056102857,0.78735894,-7.936403,0.15145284,0.30384186,-0.073887736,-1.0,0.23381014,2.667673
0.4,-2.7725835,-9.4574995,26.093367,-0.9326852,-0.3606915,0.07013489,0.59405696,-12.390757,-0.49254048,-1.2554221,-0.073887736,-1.0,0.23381014,0.30384186
0.42,-2.9570868,-8.9529295,49.65842,-0.98302704,-0.18346079,0.07992636,0.3744622,-17.467041,-1.0,-3.057014,-0.073887736,-1.0,0.23381014,-1.2554221
0.44,-3.1283433,-8.156276,34.923634,-0.9999122,-0.013248922,0.08473181,0.105388805,-10.918022,-1.0,-2.2659009,-0.073887736,-1.0,0.23381014,-3.057014
