# This is CartPole simulation from 09.01.2023 at time 03:45:19
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,0.85925406,0.27489266,19.733473,0.65300256,0.7573557,-0.081763946,0.071780086,-3.5331793,0.07887246,-0.9947462,-0.08307312,1.0,0.1945333,1.045324
0.04,0.8699622,0.86917746,36.472458,0.64485544,0.7643046,-0.08030842,0.07983907,3.0629435,0.20549522,0.9635049,-0.08307312,1.0,0.1945333,-0.9947462
0.06,0.8932808,1.5082536,36.376625,0.6268592,0.77913254,-0.078420915,0.10320188,2.894233,0.392421,1.0538139,-0.08307312,1.0,0.1945333,0.9635049
0.08,0.9299771,2.229096,47.052975,0.5978523,0.8016063,-0.07585288,0.15648305,7.3156257,0.6180495,2.6567929,-0.08307312,1.0,0.1945333,1.0538139
0.1,0.9817266,3.0039332,46.786556,0.55558777,0.8314579,-0.07198131,0.2284551,7.2412705,0.81072706,3.0722597,-0.08307312,1.0,0.1945333,2.6567929
0.12,1.048912,3.7583034,38.61219,0.49851444,0.8668814,-0.066738136,0.28493991,3.1424422,0.93684566,2.236776,-0.08307312,1.0,0.1945333,3.0722597
0.14,1.130792,4.5184126,34.831577,0.42594337,0.9047498,-0.060614,0.33881643,0.52984434,1.0,1.8456377,-0.08307312,1.0,0.1945333,2.236776
0.16,1.2279131,5.275646,39.392117,0.33620384,0.9417892,-0.05346015,0.38296887,3.1421883,1.0,3.0423195,-0.08307312,1.0,0.1945333,1.8456377
0.18,1.340157,6.023365,39.054665,0.22859994,0.97352046,-0.045544703,0.41005477,2.9249759,1.0,3.3298528,-0.08307312,1.0,0.1945333,3.0423195
0.2,1.4674617,6.7824726,37.95032,0.103150815,0.99466574,-0.037043262,0.44252005,1.803042,0.9954604,3.3905344,-0.08307312,1.0,0.1945333,3.3298528
0.22,1.6098374,7.5310197,37.042404,-0.03903117,0.999238,-0.0282191,0.41840044,2.1343293,0.90159196,3.655979,-0.08307312,1.0,0.1945333,3.3905344
0.24,1.7673069,8.29209,41.89059,-0.19524828,0.98075384,-0.020271817,0.3725964,-7.0002084,0.69148254,0.83794856,-0.08307312,1.0,0.1945333,3.655979
0.26,1.9405984,9.121429,50.482845,-0.36143085,0.9323989,-0.013855463,0.26342472,-11.294086,0.43498504,-0.70195854,-0.08307312,1.0,0.1945333,0.83794856
0.28,2.131139,9.997768,35.281483,-0.53147656,0.847073,-0.009890147,0.13681245,-1.8610939,0.14734858,1.8129631,-0.08307312,1.0,0.1945333,-0.70195854
0.3,2.3388114,10.844425,54.470314,-0.6947089,0.71929103,-0.008170161,0.025946343,-10.410592,-0.15021536,-1.1043268,-0.08307312,1.0,0.1945333,1.8129631
0.32,2.5641832,11.713072,64.71058,-0.83787954,0.5458552,-0.009071577,-0.109992914,-13.847653,-0.40918446,-2.7292829,-0.08307312,1.0,0.1945333,-1.1043268
0.34,2.806541,12.440384,10.391067,-0.94439334,0.328818,-0.012738602,-0.22892164,0.36714488,-0.6337974,0.051776227,-0.08307312,1.0,0.1945333,-2.7292829
0.36,3.058724,12.847268,8.10983,-0.9965683,0.08277391,-0.01777344,-0.2964902,-1.4863724,-0.8080306,-1.5174338,-0.08307312,1.0,0.1945333,0.051776227
0.38,-2.9662075,12.921964,-9.408253,-0.98465943,-0.17448738,-0.02405267,-0.32623947,0.5460692,-0.9623412,-2.0329437,-0.08307312,1.0,0.1945333,-1.5174338
0.4,-2.708709,12.695669,-33.797718,-0.90775985,-0.41949022,-0.030796127,-0.32685202,4.917205,-0.94022804,-1.6638912,-0.08307312,1.0,0.1945333,-2.0329437
0.42,-2.4599206,12.104696,-33.896587,-0.77652025,-0.63009226,-0.036822297,-0.2705095,3.131934,-0.8463219,-2.3054993,-0.08307312,1.0,0.1945333,-1.6638912
