# This is CartPole simulation from 09.01.2023 at time 06:16:00
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-0.85811025,-1.3065132,-28.89528,0.65386844,-0.7566083,-0.098493844,-0.05876764,4.715508,0.29271317,1.3856279,-0.09705781,-1.0,0.11175034,-0.82068944
0.04,-0.89170337,-2.113838,-20.168882,0.62808746,-0.77814275,-0.09932115,-0.01351853,7.2825084,0.64257526,2.3334277,-0.09705781,-1.0,0.11175034,1.3856279
0.06,-0.93931997,-2.7029479,-32.17923,0.59033704,-0.80715686,-0.09865291,0.09466605,5.1732907,0.9746721,2.218848,-0.09705781,-1.0,0.11175034,2.3334277
0.08,-0.99941266,-3.3728824,-53.874077,0.54079646,-0.8411535,-0.09584618,0.20011197,0.25466722,1.0,1.2254865,-0.09705781,-1.0,0.11175034,2.218848
0.1,-1.0743755,-4.2450953,-44.13165,0.47628146,-0.8792929,-0.091139756,0.270696,4.075466,1.0,2.6334407,-0.09705781,-1.0,0.11175034,1.2254865
0.12,-1.168285,-5.272857,-49.79593,0.3917302,-0.9200801,-0.085269,0.31701627,3.754582,1.0,2.6433127,-0.09705781,-1.0,0.11175034,2.6334407
0.14,-1.2830327,-6.2994423,-57.32114,0.2838086,-0.95888096,-0.07828374,0.40010205,2.4797077,1.0,2.4827735,-0.09705781,-1.0,0.11175034,2.6433127
0.16,-1.4196211,-7.4845357,-56.573967,0.15060005,-0.9885948,-0.069890685,0.4499434,7.1454806,1.0,3.9557676,-0.09705781,-1.0,0.11175034,2.4827735
0.18,-1.5803632,-8.730616,-64.477806,-0.009566681,-0.9999542,-0.060273357,0.52139187,2.3177366,1.0,2.4747307,-0.09705781,-1.0,0.11175034,3.9557676
0.2,-1.7666997,-10.042422,-71.21912,-0.19465268,-0.9808722,-0.049385738,0.5753199,6.4091434,1.0,3.679455,-0.09705781,-1.0,0.11175034,2.4747307
