# This is CartPole simulation from 09.01.2023 at time 06:24:51
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,0.2560986,0.062056877,9.48625,0.9673856,0.25330833,-0.13516413,-0.05813425,1.237539,-0.4806135,-0.11736034,-0.1341271,1.0,0.29106754,-1.7470696
0.04,0.25760314,0.08809753,-11.17205,0.9670034,0.2547635,-0.13668415,-0.0991911,-7.06732,-0.55099773,-2.4398584,-0.1341271,1.0,0.29106754,-0.11736034
0.06,0.25875893,0.0241261,-12.279278,0.9667083,0.255881,-0.13937704,-0.17667395,-7.5259733,-0.5278624,-2.9278698,-0.1341271,1.0,0.29106754,-2.4398584
0.08,0.2589839,0.0105660055,12.531597,0.9666507,0.25609848,-0.14348134,-0.23405828,2.4322815,-0.45339647,-0.6521772,-0.1341271,1.0,0.29106754,-2.9278698
0.1,0.26102093,0.17613067,24.909914,0.96612704,0.25806704,-0.14789768,-0.21966481,7.387633,-0.37623006,0.68485713,-0.1341271,1.0,0.29106754,-0.6521772
0.12,0.2661801,0.37162605,13.080861,0.9647828,0.263048,-0.15210684,-0.19387703,2.590967,-0.33586824,-0.42211646,-0.1341271,1.0,0.29106754,0.68485713
0.14,0.27559465,0.56143874,26.027163,0.9622635,0.2721192,-0.15567158,-0.17168228,7.728586,-0.29921287,0.9989982,-0.1341271,1.0,0.29106754,-0.42211646
0.16,0.2884734,0.72522354,21.093407,0.9586793,0.28448904,-0.15894349,-0.1620532,5.635319,-0.26886404,0.50511694,-0.1341271,1.0,0.29106754,0.9989982
0.18,0.30490878,0.892043,16.249214,0.95387435,0.30020615,-0.1619326,-0.15399379,3.5329003,-0.23708495,-0.0010689046,-0.1341271,1.0,0.29106754,0.50511694
0.2,0.3248196,1.1162916,3.9814067,0.9477083,0.3191378,-0.16473287,-0.1259177,-1.6614574,-0.2191904,-1.2127876,-0.1341271,1.0,0.29106754,-0.0010689046
0.22,0.3485583,1.2710301,1.8944778,0.93986607,0.34154317,-0.16727565,-0.13043188,-2.7692907,-0.15627924,-1.5311415,-0.1341271,1.0,0.29106754,-1.2127876
0.24,0.37532255,1.4479133,9.432793,0.93038946,0.36657265,-0.16998069,-0.13066302,0.084899604,-0.068742946,-0.7991267,-0.1341271,1.0,0.29106754,-1.5311415
0.26,0.40722877,1.7436333,16.524315,0.91822195,0.39606625,-0.17207006,-0.08682092,2.771363,0.017757766,0.11065489,-0.1341271,1.0,0.29106754,-0.7991267
0.28,0.44444498,1.9949204,2.3711658,0.90284944,0.42995685,-0.17359024,-0.06793142,-3.6306787,0.10379792,-1.4858394,-0.1341271,1.0,0.29106754,0.11065489
0.3,0.48628703,2.275069,20.087305,0.8840742,0.46734658,-0.1749676,-0.043608192,3.657469,0.23261283,0.56296104,-0.1341271,1.0,0.29106754,-1.4858394
0.32,0.53535944,2.6479692,25.568867,0.8600853,0.5101502,-0.17521828,0.013260387,5.7489552,0.3772843,1.4193661,-0.1341271,1.0,0.29106754,0.56296104
0.34,0.5920344,3.0602806,26.724228,0.8298071,0.55805033,-0.1743394,0.07974528,5.9377003,0.5547823,1.8334225,-0.1341271,1.0,0.29106754,1.4193661
0.36,0.6572218,3.5146885,23.922947,0.79169255,0.6109197,-0.17208245,0.1571718,4.200916,0.75600874,1.7928988,-0.1341271,1.0,0.29106754,1.8334225
0.38,0.73181385,3.9902241,28.261707,0.7439636,0.66822016,-0.16820845,0.2354565,5.9844875,0.98457927,2.7571976,-0.1341271,1.0,0.29106754,1.7928988
0.4,0.8167362,4.536329,30.498396,0.68460387,0.72891533,-0.16242614,0.34127218,6.909469,1.0,3.6692843,-0.1341271,1.0,0.29106754,2.7571976
0.42,0.91155213,4.993155,23.707315,0.61251956,0.7904554,-0.1551822,0.38678977,2.4415565,1.0,2.750288,-0.1341271,1.0,0.29106754,3.6692843
0.44,1.0154555,5.4489617,18.190285,0.52723294,0.8497208,-0.14719182,0.41745532,-2.3187034,1.0,1.6522496,-0.1341271,1.0,0.29106754,2.750288
0.46,1.1285071,5.9155045,22.091557,0.4280095,0.90377426,-0.13870473,0.4399533,-0.546975,1.0,2.4866083,-0.1341271,1.0,0.29106754,1.6522496
0.48,1.250801,6.3667965,22.931166,0.31456217,0.94923687,-0.13006388,0.4269495,-1.1120207,1.0,2.4757602,-0.1341271,1.0,0.29106754,2.4866083
0.5,1.3821932,6.822545,23.477055,0.18748696,0.9822671,-0.12189757,0.38292485,-2.4400272,1.0,2.0994058,-0.1341271,1.0,0.29106754,2.4757602
0.52,1.5229642,7.3086143,24.869862,0.04781385,0.99885625,-0.11460255,0.3524037,-1.5660644,1.0,2.5055068,-0.1341271,1.0,0.29106754,2.0994058
0.54,1.673649,7.8124995,25.923105,-0.102671385,0.99471533,-0.107883856,0.3116468,-3.6959703,1.0,1.9197485,-0.1341271,1.0,0.29106754,2.5055068
0.56,1.8345329,8.330312,25.25068,-0.26068968,0.96542263,-0.10210327,0.25805008,-1.5765208,0.88109285,2.5943286,-0.1341271,1.0,0.29106754,1.9197485
0.58,2.0056396,8.835671,28.333529,-0.42126822,0.9069361,-0.09718796,0.22095567,-5.189443,0.601913,1.5041121,-0.1341271,1.0,0.29106754,2.5943286
0.6,2.1875234,9.380487,32.6286,-0.57836825,0.8157758,-0.09376636,0.1310778,-8.217401,0.27545285,0.31595394,-0.1341271,1.0,0.29106754,1.5041121
0.62,2.380416,9.96237,37.54383,-0.72402483,0.6897739,-0.09225691,0.0096062245,-10.914071,-0.055656716,-0.99201053,-0.1341271,1.0,0.29106754,0.31595394
0.64,2.5853992,10.591437,24.187176,-0.84927094,0.5279573,-0.093521535,-0.14977972,-5.077419,-0.3572502,-0.30406252,-0.1341271,1.0,0.29106754,-0.99201053
0.66,2.801857,11.056776,28.660707,-0.9428428,0.33323786,-0.09762696,-0.2576785,-8.445767,-0.6115748,-2.1905153,-0.1341271,1.0,0.29106754,-0.30406252
0.68,3.02643,11.340025,20.921732,-0.9933761,0.114908375,-0.10368979,-0.32635322,-7.151591,-0.8043766,-2.9232795,-0.1341271,1.0,0.29106754,-2.1905153
