epoch;loss;lr;val_loss
0;0.04439321532845497;0.001;0.023056635633111
1;0.018817132338881493;0.001;0.01662568375468254
2;0.015140027739107609;0.001;0.016222309321165085
3;0.013381616212427616;0.001;0.014366631396114826
4;0.012262040749192238;0.001;0.013800612650811672
5;0.01141425222158432;0.001;0.013180097565054893
6;0.010831397026777267;0.001;0.013038805685937405
7;0.010344598442316055;0.001;0.012170881032943726
8;0.009907830506563187;0.001;0.011329665780067444
9;0.009550943039357662;0.001;0.011665266007184982
10;0.007284038700163364;0.00031600002;0.009528589434921741
11;0.007002957630902529;0.00031600002;0.009169668890535831
12;0.006818624213337898;0.00031600002;0.009142604656517506
13;0.006116891745477915;9.9856006e-05;0.008769765496253967
14;0.006018442567437887;9.9856006e-05;0.008905764669179916
15;0.005786636378616095;3.1554497e-05;0.008647548966109753
16;0.005754068028181791;3.1554497e-05;0.008629804477095604
17;0.005675457417964935;1e-05;0.008557269349694252
18;0.005664815194904804;1e-05;0.0085698701441288
19;0.005656284745782614;1e-05;0.008559971116483212
20;0.005648613907396793;1e-05;0.008577133528888226
21;0.005641034804284573;1e-05;0.008549384772777557
22;0.005633472464978695;1e-05;0.0085557596758008
23;0.005624908022582531;1e-05;0.008561852388083935
24;0.005618249997496605;1e-05;0.008580004796385765
25;0.005610557738691568;1e-05;0.008574058301746845
26;0.005602937191724777;1e-05;0.008576244115829468
27;0.0055967834778130054;1e-05;0.008561712689697742
28;0.0055896504782140255;1e-05;0.008557782508432865
29;0.005582617595791817;1e-05;0.008564210496842861
